euclidean centroid cell to district hospital;euclidean centroid cell to any health facility;eulidean centroid cell to kigali;euclidean centroid cell to main road;euclidean centroid cell to any road;Sum_ROAD_Length;SUM ROAD LENGTH PER AREA
7199,359888;3306,953724;85358,95385;2622,989305;33,682614;9829,323891;0,002295
3412,687836;2782,497839;88323,60106;238,656302;238,656302;9878,905857;0,002661
3380,231553;3168,829707;87387,8314;1043,090538;542,364103;4037,065621;0,001154
7018,410755;1368,25503;84271,25003;895,578642;212,326228;9049,966446;0,001895
4853,706821;3743,773012;86824,6265;717,33477;195,775595;9593,327905;0,002597
2651,156469;2436,072896;87813,5537;1414,458078;247,681338;4669,644781;0,001424
1311,80703;1047,703792;89468,73399;176,06607;176,06607;5672,855322;0,002694
6232,455044;3343,087589;91670,85413;4668,415478;277,231906;3328,007122;0,001216
8184,594832;5079,005872;86034,64655;4284,819463;94,846762;8180,160494;0,001708
4163,009031;848,196853;92399,72101;3346,049135;208,923461;4652,745827;0,00173
5135,586721;3038,359861;89605,74574;2874,768295;83,041177;10487,67939;0,002484
6174,329689;4652,004359;87621,99939;2919,058328;225,71107;8668,508368;0,001595
4007,540508;2455,754105;89030,66091;1454,471117;87,802712;5787,956146;0,002581
5913,305493;3538,760862;90504,94906;3974,756686;180,087025;8817,217604;0,002047
10881,15136;3247,194977;35444,43897;3633,94603;293,412735;15394,76357;0,00193
13207,33768;3103,816903;25203,76745;2881,556326;182,396198;10524,82981;0,001489
20583,76549;3385,540333;56960,66989;2661,228817;439,428073;9655,487131;0,000716
17658,80027;3899,440552;56595,48054;1123,430079;583,420952;17096,08815;0,001675
12130,1744;3012,385295;64282,3408;6706,093913;624,808118;2582,821642;0,000417
18416,78731;4340,687945;64313,97609;3470,72347;297,533779;10463,27848;0,001416
17952,19013;5059,193867;66541,14497;5567,002591;203,35727;10015,89006;0,00089
5843,386612;1924,39463;84836,82449;118,496081;118,496081;10334,21087;0,002137
7940,402368;840,854066;82712,85575;904,783531;361,047888;5329,649456;0,001452
9452,809639;2443,212279;81073,87608;1924,456126;64,824281;12680,26873;0,001872
7244,714793;3363,859884;83289,72595;1762,588289;41,816206;2867,714003;0,000508
12024,21453;2820,823168;78440,67388;2599,904379;319,659962;2650,87859;0,000634
10827,45271;2700,932468;79649,44432;3301,381197;64,698568;9086,18859;0,002796
9680,935319;2526,466139;80880,94532;3302,548344;23,5148;4204,913014;0,001508
6022,769839;1982,48057;85511,26054;365,141352;348,414357;4717,108124;0,001318
7196,089225;1551,762592;85927,92614;1810,669932;200,554966;7145,685587;0,001558
5130,721543;3843,968997;85384,54374;168,610401;120,118192;15489,8573;0,002996
4969,513768;1242,758411;86831,82093;618,097354;283,895892;5285,26691;0,001876
3592,839067;2956,507493;87181,18832;1298,678835;26,837118;4009,257201;0,001142
2723,738054;1746,749335;88889,12558;270,330692;270,330692;10487,36042;0,002832
9382,163536;2998,549662;82941,93586;1390,829816;101,919244;17149,6646;0,001801
11157,5872;3793,181026;80793,83369;330,27299;112,077093;11836,97553;0,001838
9190,54127;1721,51523;82171,26859;428,219052;428,219052;2579,118032;0,001748
11115,95484;3066,811623;82923,64812;1872,928289;311,499847;11105,24609;0,001893
19461,64041;2756,526172;82375,41608;3087,719513;28,746499;5995,700702;0,001165
13161,40085;3920,695482;68985,35521;4022,031514;774,348605;13290,035;0,000805
10795,73528;4038,602697;69277,81182;8974,336308;1280,792093;21139,31939;0,000881
17575,08487;1062,625537;82183,25731;4165,496479;381,285877;11254,99682;0,002087
16239,16158;1264,957017;84347,45085;5342,199162;145,111333;9276,96605;0,002388
19855,29963;2863,789528;83559,65125;2376,208423;519,806356;2330,299972;0,000609
18104,44565;2607,999934;80010,33508;2141,219847;438,520016;13717,70879;0,001663
15206,44819;1616,352053;83131,76039;3382,880967;8,343327;10389,54341;0,002289
17651,65625;2820,092563;85381,22373;3743,206426;251,209125;5967,07377;0,002128
17902,09603;2019,960112;78823,76464;585,805648;414,224635;3500,892598;0,00158
13765,21565;424,185268;81196,6132;172,42498;110,878199;6093,603438;0,001937
14934,53015;2463,059388;78655,84226;2168,404514;497,203892;1192,989791;0,000158
15858,3788;1836,82894;80453,06625;921,750001;921,750001;5533,886889;0,001146
14856,98892;918,590271;79954,32802;601,235175;317,552308;1270,866925;0,00049
14253,19331;1999,051245;82468,99134;2008,604001;28,925836;6232,233516;0,003098
12295,57608;1988,440941;79030,22654;1036,195673;90,87453;6993,43246;0,001604
15494,49385;3041,762827;75475,02774;1479,890774;1266,405987;722,966108;0,000209
10206,38723;2468,014733;80841,49623;224,883664;42,943111;8405,527053;0,00358
12212,31782;918,797627;78414,7975;810,534776;434,973853;3521,429181;0,00107
15396,77173;2726,910786;75212,472;287,443539;287,443539;5480,274665;0,00122
13809,43967;1081,93585;76851,47108;372,578337;279,739147;3753,558619;0,000959
15119,59613;2519,380926;76785,07328;2907,861814;1753,081146;990,433673;0,000078
13469,73963;3447,571097;73547,6525;2178,095702;543,091712;11119,95398;0,001219
905,122444;593,808765;90336,09276;505,232283;325,883013;1492,427167;0,001436
1534,426397;1516,120386;91813,64069;618,053937;227,283288;4146,046467;0,003582
2001,107622;1453,220433;91978,57336;1222,601263;271,561702;4831,329301;0,003851
3042,566077;652,80152;92489,02466;2302,003513;400,853496;3086,044387;0,001439
593,980742;593,980742;91054,45083;26,250255;26,250255;13518,96301;0,003343
2965,257518;632,724651;90727,80929;1627,757342;421,305256;129,930101;0,000072
2589,549689;347,072866;91438,0414;1840,701246;48,480633;6896,580496;0,006074
8215,40962;5700,867599;90514,45214;6098,522598;548,464621;9047,429168;0,000963
9910,556376;4531,583161;86175,82087;5123,254087;80,753578;4327,642271;0,001591
12617,49577;2384,459092;83238,55845;2145,941024;10,568834;5098,106295;0,001625
8439,968814;5850,520423;88403,52039;5601,443582;59,104235;6389,598261;0,002239
10520,86712;4079,321563;84467,45821;3407,321965;473,084684;6223,146404;0,00183
10007,80354;4485,085353;88546,213;7219,731165;291,589853;5030,766839;0,001067
11924,34276;3161,409171;84891,25593;3800,495423;275,583837;5706,878049;0,001661
11242,51884;2973,725667;87031,92228;5938,687355;202,369321;8233,048344;0,001547
16295,82468;2963,931174;88039,36795;4066,077657;243,370671;6248,854698;0,00099
14790,43538;895,056156;86797,00002;5737,609522;194,433542;11387,52834;0,001789
14001,15291;1314,675455;85045,57189;4689,336037;171,533137;9410,754218;0,002477
13074,7795;2927,351077;89059,71482;7372,477195;8,598738;8916,657131;0,001224
12498,53458;1750,657816;86950,9487;6053,079635;181,211254;6503,205054;0,001882
17939,87821;4363,012805;88022,99989;2433,443915;4,247192;4419,876794;0,001982
18746,7784;5523,524413;89147,02394;2070,118317;371,907703;5648,770491;0,001125
21777,23964;1445,389956;86085,82858;291,510771;45,174223;11474,9712;0,001992
24164,07787;2311,438332;85749,88407;1882,9489;115,293315;7027,095361;0,001962
23047,6715;3979,956558;88527,72606;1519,084435;79,008433;12009,16862;0,002476
19903,46605;2401,076579;85564,47654;2034,579836;313,469859;17259,5409;0,00381
20716,31184;3360,891919;87779,71638;153,94934;153,94934;7621,864618;0,001814
23536,91552;3220,255151;87528,17861;1241,738996;197,282291;9776,807167;0,002338
18787,48115;3740,57724;86538,97142;1993,966406;58,006353;6147,613611;0,001648
6793,592494;1227,696281;141425,0622;415,348595;71,973525;9056,826166;0,002764
7645,078854;2250,853898;139252,6105;1725,898739;11,566715;3949,772311;0,000672
7855,399701;430,816382;141041,5617;471,390009;471,390009;527,183092;0,000237
5420,559661;2431,002231;139615,3557;1431,711906;80,022883;2455,70828;0,000627
9900,518576;1687,440489;137789,4156;2351,418671;974,179459;2396,45687;0,000217
11031,4723;3281,467392;142963,7197;2196,242249;212,689282;10156,74542;0,001243
12347,99889;4165,790958;140126,8838;367,7063;367,7063;13983,77504;0,001696
12078,60687;4324,538344;143723,7294;2958,072702;569,858472;12811,74797;0,000704
10762,74829;4885,432979;146194,7186;4712,380832;231,052358;8185,453341;0,000741
10012,07737;2770,095083;140959,2611;218,804438;62,2263;7194,194281;0,001147
8590,696388;3130,62489;144127,5657;3050,133522;110,220436;19463,29754;0,002437
2793,282676;2793,282676;136734,6729;3356,972524;184,956413;5223,482269;0,00137
2606,753517;2606,753517;138274,8915;1988,996591;240,221513;8035,773691;0,001525
5507,586683;5507,586683;141875,5014;1113,427155;180,818639;7883,996876;0,001002
2554,2084;2554,2084;135971,13;4239,611131;51,95095;5782,598975;0,001895
6656,211556;5495,499011;141377,6329;81,2383;81,2383;7953,744792;0,002348
4896,560255;4896,560255;134488,758;4162,636477;376,262658;1737,82296;0,000781
4856,938419;4856,938419;139612,2788;815,653366;14,602326;12135,25991;0,002188
